time,Value
11.54,-334.6539612
11.559999,-206.3175049
11.58,-105.0545654
11.599999,-24.16940117
11.62,39.9067497253418
11.639999,90.1395645141602
11.66,136.711929321289
11.679999,187.665481567383
11.7,239.230850219727
11.719999,280.050994873047
11.74,298.222534179688
11.759999,292.519195556641
11.78,272.317352294922
11.8,247.590362548828
11.82,222.224472045898
11.84,201.290084838867
11.86,192.29069519043
11.88,197.505249023438
11.9,210.015853881836
11.92,220.865753173828
11.94,228.783493041992
11.96,238.303466796875
11.98,251.058898925781
12,265.048980712891
12.0199995,279.391540527344
12.04,300.590759277344
12.059999,338.202697753906
12.08,395.814300537109
12.099999,471.21875
12.12,555.620788574219
12.139999,638.589294433594
12.16,706.931884765625
12.179999,755.595458984375
12.2,781.756652832031
12.219999,792.384033203125
12.24,798.224670410156
12.259999,804.187561035156
12.28,812.679870605469
12.3,823.007446289063
12.32,830.127746582031
12.34,831.800109863281
12.36,830.778686523438
12.38,829.11376953125
12.4,830.486022949219
12.42,841.224792480469
12.44,864.258850097656
12.46,904.565307617188
12.48,967.042114257813
12.5,1050.47106933594
12.5199995,1152.71813964844
12.54,1268.99096679688
12.559999,1388.47473144531
12.58,1498.27233886719
12.599999,1590.53479003906
12.62,1662.21533203125
12.639999,1715.11706542969
12.66,1752.81274414063
12.679999,1775.95434570313
12.7,1783.20983886719
12.719999,1774.87451171875
12.74,1750.34240722656
12.759999,1706.75610351563
12.78,1641.97619628906
12.799999,1564.11108398438
12.82,1485.56872558594
12.84,1415.10717773438
12.86,1359.12878417969
12.88,1313.07763671875
12.9,1275.357422
12.92,1250.43225097656
12.94,1236.87097167969
12.96,1229.87658691406
12.98,1226.75561523438
13,1222.13720703125
13.0199995,1214.0439453125
13.04,1208.19555664063
13.059999,1208.27111816406
13.08,1216.57202148438
13.099999,1236.40075683594
13.12,1268.15307617188
13.139999,1308.70935058594
13.16,1351.705078
13.179999,1393.51916503906
13.2,1437.02185058594
13.219999,1487.21936035156
13.24,1547.07885742188
13.259999,1614.82092285156
13.28,1681.6728515625
13.299999,1741.79577636719
13.32,1791.75598144531
13.34,1827.00610351563
13.36,1840.03247070313
13.38,1823.77795410156
13.4,1778.01977539063
13.42,1709.0869140625
13.44,1621.63586425781
13.46,1520.56909179688
13.48,1410.31237792969
13.5,1297.06884765625
13.5199995,1193.72412109375
13.54,1106.55480957031
13.559999,1032.27282714844
13.58,967.497802734375
13.599999,915.297729492188
13.62,885.463623046875
13.639999,883.616333007813
13.66,904.039489746094
13.679999,940.535095214844
13.7,994.183837890625
13.719999,1059.83337402344
13.74,1128.65368652344
13.759999,1190.1005859375
13.78,1236.71630859375
13.799999,1271.28955078125
13.82,1300.54077148438
13.84,1322.79321289063
13.86,1329.84326171875
13.88,1321.43237304688
13.9,1305.77172851563
13.92,1281.8583984375
13.94,1240.90881347656
13.96,1176.14282226563
13.98,1088.73107910156
14,987.940185546875
14.0199995,879.544067382813
14.04,763.659057617188
14.059999,644.167419433594
14.08,530.592590332031
14.099999,429.930145263672
14.12,340.056976318359
14.139999,252.80891418457
14.16,165.069534301758
14.179999,83.0120697021484
14.2,12.7389402389526
14.219999,-47.71891022
14.24,-100.0409241
14.259999,-137.2722778
14.28,-150.6121521
14.299999,-141.8348083
14.32,-123.5451736
14.34,-109.8047867
14.36,-109.127327
14.38,-123.5109482
14.4,-156.1349335
14.42,-209.8093872
14.44,-278.3348389
14.46,-346.3447876
14.48,-405.335144
14.5,-460.4629517
14.5199995,-518.8847046
14.54,-581.6699829
14.559999,-645.3943481
14.58,-707.6969604
14.599999,-770.2130127
14.62,-831.6092529
14.639999,-880.1738892
14.66,-903.0267334
14.679999,-893.6727295
14.7,-853.6705933
14.719999,-785.281311
14.74,-691.2894287
14.759999,-583.2086792
14.78,-479.8302307
14.799999,-396.935791
14.82,-339.7723694
14.839999,-305.9081116
14.86,-287.8813782
14.88,-282.2200928
14.9,-293.1928101
14.92,-324.0315857
14.94,-376.7457581
14.96,-456.3448181
14.98,-562.5541382
15,-687.319397
15.0199995,-820.3207397
15.04,-946.3717651
15.059999,-1050.716431
15.08,-1126.11084
15.099999,-1165.689819
15.12,-1159.643555
15.139999,-1102.053833
15.16,-1001.479065
15.179999,-876.4695435
15.2,-744.2130127
15.219999,-618.7603149
15.24,-507.445343
15.259999,-404.784729
15.28,-310.084137
15.299999,-220.1857605
15.32,-133.1336212
15.339999,-56.1003418
15.36,3.76493382453918
15.38,38.5613059997559
15.4,46.4184875488281
15.42,28.6903018951416
15.44,-16.55426788
15.46,-95.32868195
15.48,-197.5428619
15.5,-311.183136
15.5199995,-427.8228455
15.54,-535.5062256
15.559999,-623.6994629
15.58,-691.1168823
15.599999,-737.6699219
15.62,-766.62146
15.639999,-787.8240967
15.66,-804.0010376
15.679999,-809.1653442
15.7,-799.232605
15.719999,-771.5894165
15.74,-721.529541
15.759999,-647.9698486
15.78,-550.8858032
15.799999,-436.1869812
15.82,-313.9213867
15.839999,-201.6323547
15.86,-101.5072021
15.88,-20.51872444
15.9,30.1114768981934
15.92,41.4275093078613
15.94,12.6648368835449
15.96,-42.58023071
15.98,-110.7792816
16,-190.8895874
16.02,-287.0446472
16.039999,-395.5527649
16.06,-509.519928
16.08,-621.2493896
16.1,-726.9547729
16.119999,-822.2984619
16.14,-890.5393677
16.16,-915.1563721
16.18,-892.559021
16.199999,-824.5574341
16.22,-713.6052856
16.24,-562.5453491
16.26,-379.1693726
16.279999,-185.2102051
16.3,-4.639241695
16.32,150.891204833984
16.34,275.725402832031
16.359999,365.777099609375
16.38,418.743255615234
16.4,435.626342773438
16.42,419.239440917969
16.44,370.860443115234
16.46,287.98486328125
16.48,169.644317626953
16.5,25.9281635284424
16.52,-129.9910736
16.539999,-290.5558472
16.56,-449.5401611
16.58,-597.1190796
16.6,-719.0339966
16.619999,-802.4004517
16.64,-841.8721924
16.66,-838.0374756
16.68,-795.496521
16.699999,-727.5170288
16.72,-647.8480835
16.74,-564.0561523
16.76,-481.191803
16.779999,-397.3764038
16.8,-310.3598022
16.82,-222.9799194
16.84,-136.3795776
16.859999,-47.37175751
16.88,43.0041275024414
16.9,132.773956298828
16.92,223.202453613281
16.94,311.022644042969
16.96,387.035797119141
16.98,440.736724853516
17,463.308868408203
17.02,460.074859619141
17.039999,442.729309082031
17.06,418.100311279297
17.08,383.155334472656
17.1,331.426635742188
17.119999,256.520263671875
17.14,161.058090209961
17.16,45.2875862121582
17.18,-87.55269623
17.199999,-226.2902679
17.22,-359.1066895
17.24,-474.8986511
17.26,-565.0872192
17.279999,-621.0490723
17.3,-626.2657471
17.32,-570.3683472
17.34,-463.7102661
17.359999,-329.0878906
17.38,-189.6878357
17.4,-61.08390045
17.42,50.7010154724121
17.44,140.294738769531
17.46,203.986145019531
17.48,248.352828979492
17.5,282.648590087891
17.52,308.654602050781
17.539999,324.796966552734
17.56,329.307678222656
17.58,324.879241943359
17.6,313.051177978516
17.619999,286.103790283203
17.64,235.502426147461
17.66,165.673416137695
17.68,91.1082077026367
17.699999,25.749095916748
17.72,-21.82394218
17.74,-49.33761978
17.76,-59.00255585
17.779999,-55.05836487
17.8,-47.25206375
17.82,-46.90541458
17.84,-60.46239853
17.859999,-82.64021301
17.88,-101.4842987
17.9,-112.1388092
17.92,-113.641716
17.94,-103.753891
17.96,-72.0689621
17.98,-13.56702518
18,64.4376983642578
18.02,138.729461669922
18.039999,197.823944091797
18.06,234.88069152832
18.08,248.205673217773
18.1,241.607391357422
18.119999,215.974411010742
18.14,181.264434814453
18.16,152.850189208984
18.18,134.47346496582
18.199999,121.797920227051
18.22,113.065063476563
18.24,101.139129638672
18.26,87.5220642089844
18.279999,74.8169021606445
18.3,63.0402221679688
18.32,56.9951095581055
18.34,70.6378021240234
18.359999,112.448013305664
18.38,184.739654541016
18.4,288.694763183594
18.42,421.745697021484
18.44,572.413696289063
18.46,727.362670898438
18.48,870.602111816406
18.5,986.592102050781
18.52,1067.23840332031
18.539999,1114.0673828125
18.56,1128.82434082031
18.58,1112.12451171875
18.6,1071.11828613281
18.619999,1010.78234863281
18.64,934.39306640625
18.66,845.65283203125
18.68,743.507995605469
18.699999,626.432922363281
18.72,501.276275634766
18.74,381.846740722656
18.76,284.474243164063
18.779999,221.108657836914
18.8,199.973678588867
18.82,227.738021850586
18.84,307.073364257813
18.859999,428.2275391
18.88,577.157409667969
18.9,737.289245605469
18.92,894.077270507813
18.939999,1037.83837890625
18.96,1158.47387695313
18.98,1246.83911132813
19,1303.24768066406
19.02,1333.75170898438
19.039999,1346.57885742188
19.06,1346.4326171875
19.08,1332.14965820313
19.1,1303.65881347656
19.119999,1257.70520019531
19.14,1186.8291015625
19.16,1090.30847167969
19.18,976.550109863281
19.199999,859.681213378906
19.22,755.654724121094
19.24,672.185668945313
19.26,606.298645019531
19.279999,560.865295410156
19.3,541.685974121094
19.32,552.908386230469
19.34,587.547668457031
19.359999,638.072875976563
19.38,696.685302734375
19.4,757.151489257813
19.42,819.792175292969
19.439999,885.436401367188
19.46,961.38427734375
19.48,1057.33825683594
19.5,1173.94372558594
19.52,1292.89660644531
19.539999,1396.89965820313
19.56,1472.81091308594
19.58,1518.35510253906
19.6,1535.00891113281
19.619999,1521.45947265625
19.64,1472.01110839844
19.66,1390.66101074219
19.68,1289.04956054688
19.699999,1176.00012207031
19.72,1062.12243652344
19.74,954.093200683594
19.76,855.032409667969
19.779999,767.1259766
